x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
75966,26459,17698,0,0,0,0,0,50
75754,26445,18034,0,0,0,0,0,50
75591,26843,16309,0,0,0,0,0,50
76556,26702,19178,0,0,0,0,0,50
75182,26527,18042,0,0,0,0,0,50
75854,26251,18562,0,0,0,0,0,50
76216,27376,17472,0,0,0,0,0,50
76148,26877,18095,0,0,0,0,0,50
75885,27933,17647,0,0,0,0,0,50
75545,25875,18622,0,0,0,0,0,50
75999,26237,19142,0,0,0,0,0,50
75906,26815,16504,0,0,0,0,0,50
76127,25598,18609,0,0,0,0,0,50
74753,26418,17307,0,0,0,0,0,50
75277,26521,15958,0,0,0,0,0,50
75677,25067,17166,0,0,0,0,0,50
76007,27027,19269,0,0,0,0,0,50
75971,25973,18841,0,0,0,0,0,50
75716,25714,18273,0,0,0,0,0,50
75985,26448,18183,0,0,0,0,0,50
75844,26350,18387,0,0,0,0,0,50
76080,25313,19347,0,0,0,0,0,50
75246,26987,17591,0,0,0,0,0,50
75641,26545,16529,0,0,0,0,0,50
75371,26489,17700,0,0,0,0,0,50
75674,26569,19054,0,0,0,0,0,50
75551,26606,17457,0,0,0,0,0,50
75723,26357,18212,0,0,0,0,0,50
76025,25668,17612,0,0,0,0,0,50
76553,26895,19627,0,0,0,0,0,50
76064,26478,17742,0,0,0,0,0,50
75406,24854,17065,0,0,0,0,0,50
75842,26981,17566,0,0,0,0,0,50
75516,26595,18010,0,0,0,0,0,50
75544,26566,18470,0,0,0,0,0,50
74940,24784,16704,0,0,0,0,0,50
75428,26951,17276,0,0,0,0,0,50
75731,26502,17134,0,0,0,0,0,50
76425,26519,18123,0,0,0,0,0,50
75382,26159,18067,0,0,0,0,0,50
75962,26500,18349,0,0,0,0,0,50
76393,26664,17261,0,0,0,0,0,50
75969,26016,17852,0,0,0,0,0,50
75913,25931,18254,0,0,0,0,0,50
75947,26360,17604,0,0,0,0,0,50
75196,26667,18548,0,0,0,0,0,50
76126,26336,18360,0,0,0,0,0,50
76161,25904,18734,0,0,0,0,0,50
75770,26310,18794,0,0,0,0,0,50
75699,26529,17500,0,0,0,0,0,50
75447,26555,18884,0,0,0,0,0,50
75985,25909,18686,0,0,0,0,0,50
75191,26772,15993,0,0,0,0,0,50
75308,26734,16452,0,0,0,0,0,50
75068,24660,17060,0,0,0,0,0,50
75845,26794,18396,0,0,0,0,0,50
75937,26491,18255,0,0,0,0,0,50
75365,24714,17058,0,0,0,0,0,50
75482,26542,19034,0,0,0,0,0,50
75872,25554,18855,0,0,0,0,0,50
76177,26792,17024,0,0,0,0,0,50
74894,24959,16705,0,0,0,0,0,50
76102,26431,18690,0,0,0,0,0,50
75793,25704,18336,0,0,0,0,0,50
75935,26415,18330,0,0,0,0,0,50
76100,26347,18273,0,0,0,0,0,50
75848,26312,18366,0,0,0,0,0,50
75857,26529,18665,0,0,0,0,0,50
75335,26574,17711,0,0,0,0,0,50
75924,26488,18464,0,0,0,0,0,50
76003,26156,18332,0,0,0,0,0,50
75569,26019,17292,0,0,0,0,0,50
75875,26262,18281,0,0,0,0,0,50
75763,26292,18102,0,0,0,0,0,50
75812,26076,18773,0,0,0,0,0,50
75720,26365,18122,0,0,0,0,0,50
75792,26438,18277,0,0,0,0,0,50
19755,47554,48920,0,0,0,0,0,50
20128,48514,48597,0,0,0,0,0,50
19645,47884,48836,0,0,0,0,0,50
20226,48778,48926,0,0,0,0,0,50
19345,48648,49395,0,0,0,0,0,50
19706,48375,48877,0,0,0,0,0,50
20054,47956,48943,0,0,0,0,0,50
19930,47665,49035,0,0,0,0,0,50
20080,47468,49078,0,0,0,0,0,50
20155,47383,48831,0,0,0,0,0,50
20149,47977,49172,0,0,0,0,0,50
20263,47466,48796,0,0,0,0,0,50
21128,48791,48920,0,0,0,0,0,50
20102,48497,49057,0,0,0,0,0,50
19850,47993,48967,0,0,0,0,0,50
20509,48384,49558,0,0,0,0,0,50
20889,48179,48855,0,0,0,0,0,50
